Epoch: [0][900/1345], lr: 0.00100	Time 1.460 (1.593)	Data 0.000 (0.014)	Loss 3.9932 (4.7504)	Prec@1 12.500 (4.757)	Prec@5 34.375 (15.178)
Epoch: [0][920/1345], lr: 0.00100	Time 1.408 (1.590)	Data 0.000 (0.013)	Loss 4.1793 (4.7408)	Prec@1 20.312 (4.855)	Prec@5 31.250 (15.452)
Epoch: [0][940/1345], lr: 0.00100	Time 1.427 (1.587)	Data 0.000 (0.013)	Loss 4.3269 (4.7310)	Prec@1 15.625 (4.991)	Prec@5 31.250 (15.708)
Epoch: [0][960/1345], lr: 0.00100	Time 1.468 (1.585)	Data 0.000 (0.013)	Loss 4.3556 (4.7215)	Prec@1 6.250 (5.115)	Prec@5 21.875 (15.947)
Epoch: [0][980/1345], lr: 0.00100	Time 1.449 (1.583)	Data 0.000 (0.013)	Loss 4.2472 (4.7109)	Prec@1 6.250 (5.232)	Prec@5 31.250 (16.225)
Epoch: [0][1000/1345], lr: 0.00100	Time 1.507 (1.581)	Data 0.000 (0.012)	Loss 4.0923 (4.7030)	Prec@1 14.062 (5.331)	Prec@5 32.812 (16.454)
Epoch: [0][1020/1345], lr: 0.00100	Time 1.430 (1.579)	Data 0.000 (0.012)	Loss 4.5138 (4.6955)	Prec@1 4.688 (5.422)	Prec@5 17.188 (16.646)
Epoch: [0][1040/1345], lr: 0.00100	Time 1.523 (1.577)	Data 0.000 (0.012)	Loss 4.1419 (4.6868)	Prec@1 10.938 (5.536)	Prec@5 34.375 (16.871)
Epoch: [0][1060/1345], lr: 0.00100	Time 1.457 (1.575)	Data 0.000 (0.012)	Loss 4.3756 (4.6772)	Prec@1 4.688 (5.659)	Prec@5 26.562 (17.139)
Epoch: [0][1080/1345], lr: 0.00100	Time 1.550 (1.573)	Data 0.000 (0.011)	Loss 4.4851 (4.6699)	Prec@1 4.688 (5.740)	Prec@5 25.000 (17.318)
Epoch: [0][1100/1345], lr: 0.00100	Time 1.419 (1.571)	Data 0.000 (0.011)	Loss 4.0402 (4.6623)	Prec@1 17.188 (5.837)	Prec@5 31.250 (17.510)
Epoch: [0][1120/1345], lr: 0.00100	Time 1.460 (1.569)	Data 0.000 (0.011)	Loss 4.1874 (4.6540)	Prec@1 15.625 (5.970)	Prec@5 34.375 (17.755)
Epoch: [0][1140/1345], lr: 0.00100	Time 1.468 (1.568)	Data 0.000 (0.011)	Loss 4.3275 (4.6464)	Prec@1 12.500 (6.062)	Prec@5 31.250 (17.952)
Epoch: [0][1160/1345], lr: 0.00100	Time 1.477 (1.566)	Data 0.000 (0.011)	Loss 4.2775 (4.6388)	Prec@1 10.938 (6.137)	Prec@5 23.438 (18.151)
Epoch: [0][1180/1345], lr: 0.00100	Time 1.415 (1.565)	Data 0.000 (0.010)	Loss 4.4957 (4.6321)	Prec@1 6.250 (6.214)	Prec@5 23.438 (18.341)
Epoch: [0][1200/1345], lr: 0.00100	Time 1.802 (1.563)	Data 0.000 (0.010)	Loss 3.7976 (4.6240)	Prec@1 21.875 (6.315)	Prec@5 37.500 (18.557)
Epoch: [0][1220/1345], lr: 0.00100	Time 1.549 (1.562)	Data 0.001 (0.010)	Loss 4.4453 (4.6163)	Prec@1 14.062 (6.439)	Prec@5 28.125 (18.767)
Epoch: [0][1240/1345], lr: 0.00100	Time 1.468 (1.561)	Data 0.000 (0.010)	Loss 4.4634 (4.6078)	Prec@1 6.250 (6.533)	Prec@5 23.438 (18.988)
Epoch: [0][1260/1345], lr: 0.00100	Time 1.537 (1.559)	Data 0.000 (0.010)	Loss 4.1423 (4.6004)	Prec@1 9.375 (6.634)	Prec@5 21.875 (19.171)
Epoch: [0][1280/1345], lr: 0.00100	Time 1.438 (1.558)	Data 0.000 (0.010)	Loss 4.4142 (4.5936)	Prec@1 7.812 (6.711)	Prec@5 23.438 (19.362)
Epoch: [0][1300/1345], lr: 0.00100	Time 1.502 (1.557)	Data 0.000 (0.010)	Loss 3.7988 (4.5859)	Prec@1 18.750 (6.806)	Prec@5 37.500 (19.567)
Epoch: [0][1320/1345], lr: 0.00100	Time 1.461 (1.555)	Data 0.000 (0.009)	Loss 4.4021 (4.5792)	Prec@1 10.938 (6.890)	Prec@5 28.125 (19.741)
Epoch: [0][1340/1345], lr: 0.00100	Time 1.491 (1.554)	Data 0.000 (0.009)	Loss 4.5431 (4.5727)	Prec@1 7.812 (6.964)	Prec@5 21.875 (19.907)
Epoch: [1][0/1345], lr: 0.00100	Time 19.096 (19.096)	Data 15.676 (15.676)	Loss 3.9054 (3.9054)	Prec@1 12.500 (12.500)	Prec@5 32.812 (32.812)
