Epoch: [0][1260/1345], lr: 0.00100	Time 0.894 (0.992)	Data 0.000 (0.012)	Loss 4.3255 (4.5943)	Prec@1 10.938 (6.622)	Prec@5 29.688 (19.492)
Epoch: [0][1280/1345], lr: 0.00100	Time 0.975 (0.991)	Data 0.000 (0.012)	Loss 4.3114 (4.5890)	Prec@1 7.812 (6.709)	Prec@5 23.438 (19.627)
Epoch: [0][1300/1345], lr: 0.00100	Time 0.891 (0.990)	Data 0.000 (0.012)	Loss 4.2833 (4.5836)	Prec@1 9.375 (6.777)	Prec@5 31.250 (19.785)
Epoch: [0][1320/1345], lr: 0.00100	Time 0.949 (0.989)	Data 0.000 (0.012)	Loss 4.3516 (4.5768)	Prec@1 12.500 (6.879)	Prec@5 31.250 (19.967)
Epoch: [0][1340/1345], lr: 0.00100	Time 0.969 (0.988)	Data 0.000 (0.012)	Loss 3.8341 (4.5707)	Prec@1 17.188 (6.956)	Prec@5 34.375 (20.127)
Epoch: [1][0/1345], lr: 0.00100	Time 23.882 (23.882)	Data 21.163 (21.163)	Loss 4.2103 (4.2103)	Prec@1 14.062 (14.062)	Prec@5 29.688 (29.688)
Epoch: [1][20/1345], lr: 0.00100	Time 0.987 (2.040)	Data 0.001 (1.008)	Loss 4.1780 (4.1866)	Prec@1 10.938 (11.979)	Prec@5 26.562 (31.101)
Epoch: [1][40/1345], lr: 0.00100	Time 0.947 (1.489)	Data 0.000 (0.516)	Loss 3.9060 (4.1517)	Prec@1 14.062 (12.271)	Prec@5 34.375 (31.593)
Epoch: [1][60/1345], lr: 0.00100	Time 0.890 (1.303)	Data 0.000 (0.347)	Loss 4.4106 (4.1581)	Prec@1 12.500 (12.346)	Prec@5 32.812 (31.788)
Epoch: [1][80/1345], lr: 0.00100	Time 0.882 (1.212)	Data 0.000 (0.262)	Loss 4.1373 (4.1481)	Prec@1 17.188 (12.461)	Prec@5 26.562 (31.732)
Epoch: [1][100/1345], lr: 0.00100	Time 0.944 (1.154)	Data 0.000 (0.210)	Loss 4.3522 (4.1407)	Prec@1 7.812 (12.407)	Prec@5 23.438 (31.900)
Epoch: [1][120/1345], lr: 0.00100	Time 0.945 (1.117)	Data 0.000 (0.175)	Loss 4.2505 (4.1447)	Prec@1 7.812 (12.332)	Prec@5 21.875 (31.650)
Epoch: [1][140/1345], lr: 0.00100	Time 0.881 (1.088)	Data 0.000 (0.150)	Loss 3.9716 (4.1414)	Prec@1 12.500 (12.356)	Prec@5 37.500 (31.804)
Epoch: [1][160/1345], lr: 0.00100	Time 0.903 (1.068)	Data 0.000 (0.132)	Loss 4.3490 (4.1336)	Prec@1 14.062 (12.451)	Prec@5 26.562 (32.017)
Epoch: [1][180/1345], lr: 0.00100	Time 0.885 (1.052)	Data 0.000 (0.117)	Loss 4.1264 (4.1234)	Prec@1 9.375 (12.681)	Prec@5 25.000 (32.010)
Epoch: [1][200/1345], lr: 0.00100	Time 0.989 (1.039)	Data 0.000 (0.106)	Loss 4.2220 (4.1234)	Prec@1 12.500 (12.772)	Prec@5 26.562 (31.981)
Epoch: [1][220/1345], lr: 0.00100	Time 1.035 (1.029)	Data 0.000 (0.096)	Loss 4.2114 (4.1286)	Prec@1 9.375 (12.705)	Prec@5 29.688 (31.801)
Epoch: [1][240/1345], lr: 0.00100	Time 0.884 (1.020)	Data 0.000 (0.088)	Loss 4.0176 (4.1221)	Prec@1 7.812 (12.876)	Prec@5 31.250 (31.970)
Epoch: [1][260/1345], lr: 0.00100	Time 0.895 (1.014)	Data 0.000 (0.081)	Loss 4.0706 (4.1206)	Prec@1 12.500 (12.847)	Prec@5 29.688 (32.040)
Epoch: [1][280/1345], lr: 0.00100	Time 0.947 (1.008)	Data 0.000 (0.076)	Loss 3.9448 (4.1151)	Prec@1 15.625 (12.884)	Prec@5 42.188 (32.218)
Epoch: [1][300/1345], lr: 0.00100	Time 0.958 (1.003)	Data 0.000 (0.071)	Loss 3.8214 (4.1077)	Prec@1 12.500 (12.926)	Prec@5 37.500 (32.584)
Epoch: [1][320/1345], lr: 0.00100	Time 1.005 (0.998)	Data 0.000 (0.066)	Loss 4.2448 (4.1050)	Prec@1 10.938 (13.001)	Prec@5 29.688 (32.710)
Epoch: [1][340/1345], lr: 0.00100	Time 0.976 (0.994)	Data 0.000 (0.062)	Loss 4.1297 (4.1023)	Prec@1 9.375 (13.032)	Prec@5 32.812 (32.771)
